Index,Eigenvalue,MagZ,MagX
1,-4.611273,5.5012903e-14,8.9014645e-9
2,-4.345183,5.8553856e-14,3.4810588e-9
3,-3.9546957,-0.124999985,4.5488744e-7
4,-3.9546952,0.12500001,-4.4791157e-9
5,-3.5790606,-1.882086e-12,-5.603932e-7
6,-3.3847792,-0.124999985,3.078008e-8
7,-3.3847783,0.125,1.8858959e-9
8,-3.3443651,1.9354374e-13,-3.0246827e-8
9,-3.0191302,3.0836116e-14,4.654312e-8
10,-2.8961287,0.125,3.3644277e-8
11,-2.896128,-0.12500001,-5.6036805e-7
12,-2.7976532,-9.101377e-13,-3.934693e-8
13,-2.7848172,3.5442274e-14,-6.405714e-9
14,-2.766099,-6.2016267e-13,-1.7899157e-7
15,-2.7498136,-0.124999695,2.3395225e-7
16,-2.749813,0.12499969,3.6833317e-8
17,-2.668019,-0.12499896,1.1983451e-8
18,-2.6680186,0.12499895,3.5853247e-8
19,-2.6570249,-1.8744875e-12,1.0567973e-8
20,-2.5726273,0.12499994,6.4325123e-9
21,-2.5726264,-0.12499993,-4.2322245e-8
22,-2.422132,7.4225416e-14,1.4721585e-8
23,-2.30378,1.0135249e-12,3.1599976e-7
24,-2.271763,0.12499752,0.000105743784
25,-2.2717621,-0.12499781,-3.4238055e-5
26,-2.2716894,1.4231357e-7,-7.1464136e-5
27,-2.1896298,0.124999195,3.528512e-8
28,-2.189629,-0.124999195,-1.3976716e-8
29,-2.0201414,0.25000003,-1.984353e-8
30,-2.0201411,-0.25,-1.9000306e-7
31,-2.0170164,1.8874747e-13,-5.4170762e-8
32,-1.9779482,2.166391e-12,1.11163246e-7
33,-1.9563498,-0.12499987,2.81108e-7
34,-1.956349,0.1249999,-2.6177472e-7
35,-1.9461639,1.4861193e-12,2.030518e-7
36,-1.8747715,-0.124861956,8.242895e-8
37,-1.874771,0.12486199,1.7848292e-8
38,-1.7609754,1.8024348e-12,1.2345522e-7
39,-1.7343564,2.509194e-12,5.36624e-8
40,-1.7166771,0.119953975,2.8116988e-8
41,-1.7166768,-0.119954005,-5.0551453e-8
42,-1.6980581,1.6138043e-12,1.3293872e-7
43,-1.6522369,4.6947073e-12,-1.4608636e-8
44,-1.6298361,0.12494509,-2.8346503e-7
45,-1.6298352,-0.12494517,7.6943417e-7
46,-1.6027018,0.24999997,-6.0986274e-9
47,-1.6027014,-0.25,-8.4258454e-7
48,-1.413538,-1.0950315e-12,-4.0523286e-8
49,-1.40568,-0.12018554,6.547474e-9
50,-1.4056797,0.12018557,-4.874909e-8
51,-1.3960421,-9.356214e-12,5.8253054e-8
52,-1.3777237,-1.1987847e-13,3.5516043e-9
53,-1.3255403,-0.24999997,9.892718e-7
54,-1.3255398,0.25000003,-1.576877e-7
55,-1.3195182,-0.124989785,-1.0014207e-6
56,-1.319517,0.124989815,1.6438082e-7
57,-1.2590655,-0.124650255,4.330958e-8
58,-1.2590648,0.12465026,-4.1842377e-8
59,-1.1204379,0.25000003,-2.9956425e-8
60,-1.1204361,-0.24999999,-6.70255e-8
61,-1.0872395,4.635921e-13,9.159935e-8
62,-1.0813986,8.771801e-13,-8.5342876e-8
63,-1.0444564,-0.12341633,-2.742577e-7
64,-1.0444562,0.12341635,-1.924954e-7
65,-1.0367827,-3.7253148e-12,5.1509363e-7
66,-1.0070958,-6.558276e-13,2.5280949e-8
67,-0.9832681,0.12477543,-2.9402049e-8
68,-0.9832678,-0.124775425,6.202629e-8
69,-0.9424184,-0.11284439,-3.0466843e-8
70,-0.94241774,0.1128444,-7.797135e-9
71,-0.936435,-7.748436e-13,8.0876985e-9
72,-0.91955763,-0.11850952,-4.2294093e-7
73,-0.9195574,0.11850952,4.5462258e-7
74,-0.9159706,1.4772187e-11,-1.2725334e-7
75,-0.90060544,7.7209445e-12,7.832891e-9
76,-0.856297,-0.11742716,1.2938627e-6
77,-0.8562965,0.11742718,2.6889927e-7
78,-0.84694487,0.12365379,-2.4065454e-8
79,-0.8469442,-0.12365383,7.2696187e-9
80,-0.8462143,0.24999999,1.8305364e-8
81,-0.8462138,-0.25000003,-1.5492152e-6
82,-0.8308878,-2.1694714e-12,7.9476976e-8
83,-0.76528287,-1.5874012e-12,1.1926558e-7
84,-0.73304874,0.10465426,3.0932274e-8
85,-0.73304856,-0.10465418,9.42158e-8
86,-0.7263743,9.982961e-13,-1.3901638e-8
87,-0.69122195,9.765302e-12,-1.0312887e-7
88,-0.6808148,-0.10366919,1.6075252e-7
89,-0.6808147,0.10366914,-7.4613745e-8
90,-0.6657141,0.24999999,1.047631e-8
91,-0.66571325,-0.24999991,-1.5534496e-8
92,-0.60629463,-7.420919e-14,3.2957033e-9
93,-0.5451533,0.12498721,1.6385782e-10
94,-0.5451525,-0.12498729,-1.87891e-9
95,-0.43878606,0.25000006,-2.6570365e-8
96,-0.43878573,-0.2500001,1.2836766e-6
97,-0.4110449,0.10188264,-1.4608574e-7
98,-0.41104475,-0.10188278,-1.1263454e-6
99,-0.39437035,0.25000003,2.8926719e-8
100,-0.39437005,-0.24999991,-1.3726324e-7
101,-0.2926345,4.9667753e-12,2.5139067e-7
102,-0.26800975,3.082328e-10,3.0057438e-7
103,-0.2677273,8.3403215e-11,7.50145e-7
104,-0.26439545,0.12471017,-1.6619614e-6
105,-0.26439455,-0.12471021,-1.4275417e-6
106,-0.26265362,6.5297962e-12,4.1915923e-6
107,-0.26098925,0.10474615,-8.577003e-7
108,-0.26098898,-0.1047462,-1.0911092e-6
109,-0.25998166,0.099191956,-8.5569604e-7
110,-0.25998154,-0.09919105,5.233204e-7
111,-0.22817373,0.12468982,-4.97565e-7
112,-0.22817254,-0.124689855,1.6385367e-7
113,-0.21813941,1.7965148e-11,2.2521525e-7
114,-0.17100127,0.25000003,4.8082928e-8
115,-0.17100106,-0.24999996,-9.335368e-8
116,-0.14439301,-0.25000003,5.235054e-9
117,-0.14439248,0.25,-2.1197309e-8
118,-0.1424025,-1.8327773e-11,5.9564943e-8
119,-0.092425734,-0.12474685,2.3167516e-8
120,-0.0924256,0.12474679,1.1654883e-7
121,-0.0626874,1.9628106e-12,-1.14090675e-7
122,0.007334698,1.6558954e-10,-8.1803586e-7
123,0.0076175905,1.3869937e-11,-1.7117753e-7
124,0.009754635,-0.25000012,-2.013161e-7
125,0.00975476,0.24999997,-2.708008e-7
126,0.013623603,0.039926473,4.2159743e-7
127,0.013623678,-0.039926447,-1.9610408e-7
128,0.0146322055,0.11613967,1.445267e-6
129,0.014632295,-0.1161393,-7.8936615e-8
130,0.094806105,-0.25000015,2.2315984e-8
131,0.094806194,0.25,-6.806945e-8
132,0.12132054,0.25,1.3494809e-8
133,0.12132061,-0.2500001,-3.323387e-8
134,0.16372569,-0.10429136,-2.1806322e-8
135,0.16372582,0.104290895,9.19138e-9
136,0.17925096,-1.7457562e-12,-1.889818e-8
137,0.26383352,1.1469661e-11,-1.8223598e-7
138,0.28233624,9.091989e-11,-1.997542e-7
139,0.2974067,0.12468113,2.2095612e-8
140,0.2974073,-0.12468106,-1.2840859e-8
141,0.30677828,-0.11034313,-4.6446655e-8
142,0.30677858,0.110343166,1.396029e-7
143,0.34240746,4.424613e-13,-1.3086642e-8
144,0.40750837,1.6568392e-10,6.3013243e-7
145,0.41755444,8.56906e-11,-9.649334e-7
146,0.41784367,1.3356583e-10,-2.0283821e-6
147,0.422898,-0.05810955,1.3528932e-6
148,0.42289808,0.058109514,5.9708424e-7
149,0.42392692,0.09310929,1.1256858e-6
150,0.4239272,-0.09310937,-4.341643e-7
151,0.44636676,0.1249941,-7.9321744e-8
152,0.44636726,-0.12499415,-3.4947686e-8
153,0.4804783,-0.24999996,4.572973e-8
154,0.48047933,0.24999997,4.7980247e-8
155,0.49181995,-0.25000003,-6.985589e-8
156,0.49182013,0.25,-1.848949e-8
157,0.5184183,0.24999999,1.22970345e-8
158,0.51841855,-0.25000003,9.637091e-8
159,0.5828786,-0.37500003,-3.5977674e-9
160,0.5828788,0.37499997,0.0
161,0.7262516,2.3844295e-13,-6.6766552e-9
162,0.74755,3.6488495e-12,3.512278e-7
163,0.7822865,-0.101146005,-1.0738285e-7
164,0.7822868,0.10114598,1.7757023e-8
165,0.8188305,-0.3750001,-8.0711644e-8
166,0.8188305,0.37500003,0.0
167,0.8483332,-0.110123135,2.0974012e-8
168,0.84833336,0.11012314,1.7768148e-8
169,0.89587444,2.190529e-11,3.551301e-7
170,0.89619064,2.926807e-11,2.1472312e-7
171,0.9005075,0.09953976,-1.3801314e-7
172,0.9005076,-0.09953984,-1.1124185e-7
173,0.90162486,0.122687556,-3.6888414e-7
174,0.9016251,-0.122687474,1.25039445e-8
175,0.9321668,1.5193725e-13,-2.1508695e-8
176,0.94758344,-0.12187129,-1.9947299e-7
177,0.9475837,0.121871285,4.3433783e-8
178,0.9577608,-0.25000012,-2.3975266e-9
179,0.95776147,0.24999996,-8.7223036e-8
180,0.96526754,-1.6395713e-12,3.145093e-7
181,0.9851708,-0.25,6.91302e-9
182,0.985171,0.25000003,3.024813e-8
183,0.9971051,-1.3491724e-12,-6.810974e-8
184,1.025105,0.08615327,2.0112555e-8
185,1.025105,-0.08615347,8.702733e-9
186,1.0581957,-1.0358744e-12,1.163812e-8
187,1.0911835,-0.12071182,8.3743856e-8
188,1.0911839,0.120711714,-5.850966e-8
189,1.1376382,7.1206875e-13,4.7535473e-9
190,1.1716899,-0.37500006,-8.594306e-10
191,1.17169,0.37500003,2.640068e-9
192,1.2102393,1.0742758e-12,3.242092e-8
193,1.2478023,-0.122212864,5.7941043e-9
194,1.2478029,0.12221293,-1.4032073e-8
195,1.3565518,3.075925e-11,1.7062654e-7
196,1.3569739,3.3490714e-11,2.8301292e-7
197,1.3614587,-0.124699205,-1.6048665e-7
198,1.3614589,0.12469919,-2.1294991e-7
199,1.3629291,0.123758666,-2.2660724e-7
200,1.3629293,-0.12375862,-4.0884856e-8
201,1.4160558,-0.25000003,4.8047028e-8
202,1.4160558,0.25000006,6.131846e-9
203,1.4467787,0.24999997,1.692239e-8
204,1.4467788,-0.24999999,1.024787e-7
205,1.5429621,-0.24999996,1.9479398e-8
206,1.5429629,0.25,-7.2610535e-9
207,1.5871074,-0.37500006,5.949273e-8
208,1.5871078,0.37499997,0.0
209,1.6545613,-0.2500001,-4.774815e-8
210,1.6545615,0.24999996,-8.0016986e-11
211,1.7322154,-0.12461981,5.5447476e-8
212,1.7322162,0.1246198,3.5290753e-8
213,1.7809973,1.4738279e-12,-6.71401e-8
214,1.7859459,1.9190222e-11,3.8810303e-8
215,1.7938182,-0.12498431,-2.1257376e-8
216,1.793819,0.124984376,-4.5597115e-8
217,1.7989383,0.25000003,-1.3616228e-8
218,1.7989385,-0.24999999,-3.499356e-8
219,1.866246,1.9068759e-10,1.5829847e-6
220,1.8679819,8.0640154e-11,7.2374627e-7
221,1.8713399,0.12321628,1.5663191e-7
222,1.8713403,-0.12321627,-7.0877945e-7
223,1.876676,-0.116641894,-3.1450696e-7
224,1.8766763,0.116641946,-1.3224088e-6
225,1.8991575,4.1407964e-11,5.3721345e-7
226,1.9019748,6.0369196e-11,4.2951265e-7
227,1.9040409,-0.11596299,3.5899998e-7
228,1.9040414,0.115963094,-8.5788946e-7
