Index,Eigenvalue,MagZ,MagX
1,-12.25,-0.5,0.0
2,-12.25,0.5,0.0
3,-8.821433,0.37499997,4.6562987e-10
4,-8.821431,-0.375,1.7248641e-9
5,-8.821425,0.3749999,-2.1412938e-9
6,-8.821422,-0.37499997,6.5847017e-9
7,-8.786086,-0.24999364,1.0023353e-7
8,-8.786084,0.2328124,-0.00035940006
9,-8.786082,0.19808076,0.0001646794
10,-8.786082,-0.17801255,0.00059999374
11,-8.785901,-0.016845945,-0.040878188
12,-8.785901,0.111818306,0.0107261455
13,-8.7859,-0.0662784,0.003985035
14,-8.785898,-0.052350707,0.0037236053
15,-8.785898,0.0017745355,-0.026180435
16,-8.785897,0.018995367,0.048218466
17,-6.141596,0.37500003,0.0
18,-6.141594,-0.37500018,-1.2654286e-8
19,-5.8452196,-0.37500003,2.5744049e-8
20,-5.845219,0.375,0.0
21,-5.4324484,0.37500006,0.0
22,-5.4324474,-0.375,1.3593905e-7
23,-5.3929825,0.24997953,-9.3024704e-7
24,-5.3929806,-0.24997957,-1.1604236e-6
25,-5.3927317,-0.24299033,-4.797324e-7
26,-5.3927317,0.24299039,1.5413818e-8
27,-5.3789263,-0.24904965,-9.786845e-8
28,-5.3789263,0.24904965,1.7608511e-6
29,-5.357583,0.12413977,-6.2024876e-5
30,-5.357581,-0.124137275,0.00019691633
31,-5.3575554,0.11870513,5.0817747e-5
32,-5.3575544,-0.11871009,-0.00012398607
33,-5.3574686,0.102781765,0.00016885233
34,-5.3574677,-0.10275806,-3.426875e-5
35,-5.357442,-0.012548717,1.5067545e-5
36,-5.35744,0.012460698,4.7872018e-5
37,-5.3573875,5.146266e-5,-0.00012250956
38,-5.3573856,1.427724e-5,1.9220368e-5
39,-5.357274,4.8190657e-7,-0.00016003379
40,-5.357272,6.3932316e-7,5.237857e-6
41,-5.342889,0.24702434,-5.7025026e-8
42,-5.342887,-0.2470243,-1.0412394e-6
43,-5.324341,0.122799926,-2.005863e-6
44,-5.324341,-0.122799836,-1.2127737e-6
45,-5.3221636,-5.1524656e-11,2.0058012e-6
46,-5.3221617,2.6120744e-10,1.5917499e-6
47,-5.3192377,-0.1249889,6.408994e-8
48,-5.3192377,0.12498888,6.8071245e-7
49,-5.298912,0.24988478,1.4304954e-8
