Index,Eigenvalue,MagZ,MagX
1,-2.3793852,5.1754255e-14,5.1425822e-8
2,-2.2057395,-0.12499998,-1.1423542e-9
3,-2.205737,0.12499999,-4.0989324e-8
4,-2.032088,1.0497028e-13,1.228818e-7
5,-1.8793867,0.12499995,-1.8488181e-9
6,-1.8793849,-0.125,-1.6915195e-8
7,-1.7057382,7.91315e-7,-5.915916e-7
8,-1.705738,-5.9329018e-8,-1.0609732e-7
9,-1.7057375,0.24999918,-1.5044344e-8
10,-1.705736,-0.24999999,4.1269606e-9
11,-1.6133409,-0.12474686,7.995552e-8
12,-1.6133406,0.12474685,5.2455135e-7
13,-1.5320888,0.12496506,1.2149272e-7
14,-1.5320884,-0.12496499,-4.664403e-8
15,-1.4396937,-0.05980556,0.071752176
16,-1.4396932,0.24999428,-0.0004988084
17,-1.4396929,-0.008245879,-0.0057158475
18,-1.4396926,0.025694849,-0.06279718
19,-1.4396925,-0.24271894,-0.019756716
20,-1.4396915,0.035081215,0.017016435
21,-1.3793857,9.691001e-13,2.043624e-7
22,-1.266045,-0.24238405,3.2136928e-8
23,-1.2660449,-0.036982976,5.0768357e-8
24,-1.2660447,0.12482119,-1.8562471e-7
25,-1.2660443,0.24981917,1.4904547e-8
26,-1.266043,-0.005086288,4.805741e-8
27,-1.2660426,-0.09018696,1.9756671e-8
28,-1.2057369,-0.12499786,1.5403594e-7
29,-1.2057365,0.1249979,-1.87837e-8
30,-1.113341,-0.24946842,-1.4777184e-7
31,-1.1133407,0.00013356391,5.2578425e-8
32,-1.1133406,0.24977078,5.7065066e-8
33,-1.1133406,-0.00043592072,-2.942058e-7
34,-1.0923963,-0.088792615,1.3255816e-7
35,-1.0923961,0.08879254,4.314311e-8
36,-1.0320888,1.1278338e-13,-3.665155e-8
37,-0.939693,-0.012726346,2.9600749e-8
38,-0.9396929,-0.16193828,1.6432285e-8
39,-0.9396927,-0.0053567016,-1.1671348e-8
40,-0.93969256,0.029166562,5.192906e-8
41,-0.9396925,0.008052163,6.173947e-8
42,-0.93969244,0.19602533,-1.2138588e-8
43,-0.93969244,-0.28144947,-2.2702169e-8
44,-0.9396924,0.03573007,1.4209411e-7
45,-0.93969226,-0.122837685,-1.730528e-8
46,-0.9396922,-0.04947815,-3.9198657e-8
47,-0.939692,0.37499997,1.7294388e-9
48,-0.9396912,-0.010188571,2.9296979e-8
49,-0.8472967,6.250756e-13,1.6190226e-8
50,-0.76604533,-0.04804194,-0.015165849
51,-0.7660449,-0.081035495,0.03300891
52,-0.76604444,0.24872494,-0.004106022
53,-0.7660444,-0.1338427,0.0020647426
54,-0.7660443,-0.058943797,0.018314935
55,-0.76604426,0.08559262,-0.012655374
56,-0.766044,-0.0805044,0.0029991986
57,-0.76604384,-0.07227058,0.009631003
58,-0.7660438,-0.1507239,-0.00824596
59,-0.7660438,0.375,2.8582552e-9
60,-0.76604366,-0.044555552,-0.010413776
61,-0.76604337,-0.039399344,-0.015432366
62,-0.67364913,-0.10006836,-5.765071e-8
63,-0.6736487,-0.08392159,-9.660438e-8
64,-0.67364854,-0.026836414,4.800623e-7
65,-0.67364806,0.009316425,2.3908589e-8
66,-0.6736479,0.24845825,2.1659845e-8
67,-0.6736475,-0.046948176,-9.852014e-8
68,-0.61334103,-0.12105521,7.961985e-8
69,-0.61334044,0.12105523,1.9978387e-8
70,-0.5923964,-0.12694459,3.2331354e-8
71,-0.59239626,-0.12261785,5.6444893e-8
72,-0.5923957,0.003148049,-4.523275e-8
73,-0.5923955,0.24641389,-1.343453e-8
74,-0.5000013,-0.0432116,-0.0019879243
75,-0.5000008,-0.04784441,0.00019869387
76,-0.50000036,-0.099959746,0.0038722109
77,-0.50000024,-0.20150787,-0.0034401333
78,-0.49999985,0.028014371,0.00033127397
79,-0.4999998,-0.012063487,0.002395037
80,-0.49999976,0.375,0.0
81,-0.4999996,0.041724876,-0.00835462
82,-0.49999958,-0.020016072,0.014581559
83,-0.49999943,-0.02013591,-0.007596613
84,-0.4396937,0.032378748,-0.013383637
85,-0.4396931,-0.14789839,-0.011111255
86,-0.4396927,0.0066926805,-0.0047789314
87,-0.4396927,-0.060248107,0.045174666
88,-0.4396925,-0.07989994,-0.017113455
89,-0.43969232,0.24897498,0.0012127814
90,-0.3472962,0.07126941,2.328485e-8
91,-0.34729612,-0.071269386,-2.9677416e-8
92,-0.32635257,-0.008993544,-0.0143584125
93,-0.3263524,-0.043854535,0.018633764
94,-0.32635227,0.24969551,0.0016755835
95,-0.3263518,0.0683192,-0.00077837205
96,-0.32635164,-0.05776846,-0.006644681
97,-0.32635072,-0.20739855,0.0014721844
98,-0.266045,-0.10810738,1.0046019e-8
99,-0.26604453,0.019683348,-3.5776155e-9
100,-0.26604444,-0.15927306,5.7665392e-8
101,-0.2660444,0.20881833,-1.6375813e-7
102,-0.2660443,0.06981804,7.792425e-8
103,-0.26604393,-0.030938763,2.2690752e-8
104,-0.17364897,-0.05035544,0.005451739
105,-0.17364886,-0.19225848,0.006943884
106,-0.17364858,-0.058287278,0.0024313894
107,-0.17364843,0.08873135,0.021035109
108,-0.17364839,-0.047900327,0.0072110686
109,-0.17364827,0.03847409,-0.012989227
110,-0.17364812,0.37499994,0.0
111,-0.17364803,0.24028382,0.0035980402
112,-0.17364796,0.008117658,0.024119476
113,-0.1736476,-0.07043571,-0.040372778
114,-0.17364754,-0.10624207,-0.025717437
115,-0.17364734,-0.22512689,0.008288399
116,-0.15270281,1.1760648e-12,-2.7713572e-8
117,-0.092396356,0.119506225,3.1279445e-8
118,-0.092396304,-0.11950565,2.7835792e-8
119,-3.6741903e-7,-0.057409503,0.008686124
120,-2.9081252e-7,0.1573132,-0.00076770445
121,-2.1911114e-7,0.21449576,-0.0032064083
122,-5.9178834e-8,-0.012260998,-0.0015082008
123,-5.441606e-8,-0.10702706,-0.016334072
124,0.0,-0.5,0.0
125,0.0,0.5,0.0
126,3.0688412e-9,-0.07478682,0.0063032815
127,2.1900902e-8,-0.03654729,-0.022518009
128,4.4965862e-8,-0.08262884,0.0059429253
129,5.8720026e-8,-0.00024033511,0.009014467
130,7.635606e-8,-0.005645468,-0.0008226099
131,1.6513297e-7,0.09779806,0.0044721323
132,2.3741927e-7,0.036721904,0.0012681633
133,2.5699228e-7,-0.018181624,0.009222401
134,3.1801073e-7,-0.06403049,0.011511641
135,4.4116007e-7,-0.088559575,0.02188141
136,6.1018034e-7,-0.02535407,-0.020564234
137,6.1871094e-7,-0.01863356,-0.006595972
138,7.962817e-7,0.084977955,-0.0059850295
139,0.09239622,0.03548795,-5.5337534e-8
140,0.092396356,-0.03548846,7.551703e-8
141,0.15270376,-5.412484e-13,2.3503775e-7
142,0.17364742,-0.0946315,6.531893e-8
