Index,Eigenvalue,MagZ,MagX
1,-21.0,-0.5,0.0
2,-21.0,0.5,0.0
3,-15.04167,-0.37499997,3.466688e-9
4,-15.041667,0.37500003,4.5103966e-11
5,-15.041667,0.37499997,-1.3126045e-10
6,-15.041667,-0.37500012,9.212508e-9
7,-15.020911,-0.22018668,-0.0014111174
8,-15.020906,0.24108368,-0.013854766
9,-15.020906,-0.10513219,-0.030447362
10,-15.020905,0.0045938296,0.05077218
11,-15.020876,-0.10919764,0.002305673
12,-15.020871,0.06337522,0.060664065
13,-15.020869,0.05836135,-0.03912019
14,-15.020866,-0.1135645,0.022370826
15,-15.020866,0.14100365,-0.029572235
16,-15.020866,0.03966314,-0.021707125
17,-9.895956,-0.37500015,7.0442074e-9
18,-9.895955,0.37499997,0.0
19,-9.607823,-0.37500012,-2.8361364e-9
20,-9.607821,0.37499994,0.0
21,-9.199384,0.37500006,1.7494199e-9
22,-9.199384,-0.37500006,4.83875e-8
23,-9.083342,0.24999973,2.5118284e-6
24,-9.083342,-0.2089237,-2.456945e-6
25,-9.083323,0.20873882,3.754853e-6
26,-9.083323,-0.24981491,-3.1000054e-6
27,-9.075317,0.20500623,2.9352173e-6
28,-9.075317,-0.20500629,1.82441e-7
29,-9.062578,0.02398852,0.0038744365
30,-9.062576,-0.010852404,-0.018338744
31,-9.062576,0.042056963,0.00016737952
32,-9.062573,-0.0007300478,0.0032751285
33,-9.062569,-0.0009015877,0.020754462
34,-9.062569,-6.92309e-5,0.002714613
35,-9.062567,0.001292626,-0.022224844
36,-9.062567,-0.05956032,0.0034471878
37,-9.062542,0.042886637,0.0061181574
38,-9.062542,-0.02979818,-0.0012735054
39,-9.062531,-0.013911034,-6.218877e-5
40,-9.062531,0.0055980003,0.0015453054
41,-9.05442,-0.24776216,-2.890832e-7
42,-9.05442,0.24776237,-7.6784396e-8
43,-9.042609,0.12499999,0.00013584881
44,-9.042606,-0.12500003,3.1643467e-6
45,-9.041813,-2.1411427e-10,-3.4196626e-6
46,-9.041809,7.468724e-8,-0.00014015808
47,-9.040873,0.12232789,3.2140342e-6
48,-9.040871,-0.12232789,1.0813294e-6
49,-9.028703,0.110434555,-2.5834825e-7
50,-9.028703,-0.11043466,-2.0911166e-7
51,-9.007935,-0.24395296,3.1214007e-8
52,-9.007933,0.24395303,-2.8775995e-7
53,-8.755525,0.37500006,0.0
54,-8.755522,-0.37500003,8.449529e-9
55,-8.362998,-0.375,3.0204297e-9
56,-8.362996,0.37499997,0.0
57,-8.09499,-0.375,-5.352992e-9
58,-8.094987,0.37499994,0.0
59,-3.893756,0.24917361,-3.309358e-7
60,-3.893756,0.087347105,-1.3572244e-7
61,-3.8937497,-0.24897623,2.232279e-7
